TRACE (ray tracing) @ frequency of    1700.00     Hz
Reg Path(Re)  TimeG(s) %dTimeG/T %dPath/WL    WL(km)    R(Re) Alt(km)    Lat^o   Long^o     L(Re)         F/Fge           F/FgH         n(cm-3)       %H+  %He+   %O+ LHR/kHz   RefrInd VeK^o AzK^o ThK^o ThG^o PhK^o Gen^o Res^o
 0 0.496     0.161      36.0      38.0      11.6      5.82019  30709.  -5.6473   1.1236   5.877             0.47270       867.87964            8.31 100.0   0.0   0.0   0.083  15.2     109.9 193.4 161.7 179.9 180.0 161.0 118.2
 0 0.503     0.164      35.9      38.0      11.6      5.81998  30708.  -5.7136   1.1395   5.878             0.47263       867.74323            8.31 100.0   0.0   0.0   0.083  15.2     109.7 193.4 162.1 179.9 180.0 161.0 118.2
 0 0.510     0.166      35.8      37.9      11.7      5.81976  30707.  -5.7800   1.1554   5.879             0.47255       867.59308            8.31 100.0   0.0   0.0   0.083  15.1     109.5 193.4 162.4 179.9 180.0 160.9 118.2
 0 0.516     0.168      35.8      37.8      11.7      5.81951  30705.  -5.8463   1.1713   5.881             0.47246       867.43146            8.31 100.0   0.0   0.0   0.083  15.1     109.3 193.4 162.7 179.8 180.0 160.9 118.2
 0 0.523     0.170      35.7      37.7      11.7      5.81925  30703.  -5.9127   1.1872   5.882             0.47236       867.25641            8.31 100.0   0.0   0.0   0.083  15.1     109.1 193.4 163.1 179.8 180.0 160.9 118.2
 0 0.530     0.172      35.6      37.7      11.7      5.81896  30702.  -5.9791   1.2031   5.883             0.47226       867.06744            8.31 100.0   0.0   0.0   0.083  15.0     108.9 193.4 163.4 179.8 180.0 160.8 118.2
 0 0.537     0.174      35.6      37.6      11.7      5.81866  30700.  -6.0455   1.2191   5.884             0.47215       866.86707            8.31 100.0   0.0   0.0   0.083  15.0     108.7 193.4 163.8 179.8 180.0 160.8 118.2
 0 0.544     0.176      35.5      37.5      11.8      5.81833  30698.  -6.1119   1.2350   5.885             0.47203       866.65430            8.31 100.0   0.0   0.0   0.083  15.0     108.5 193.4 164.1 179.7 180.0 160.7 118.2
 0 0.551     0.178      35.4      37.5      11.8      5.81799  30695.  -6.1783   1.2509   5.886             0.47191       866.42981            8.31 100.0   0.0   0.0   0.083  15.0     108.2 193.4 164.5 179.7 180.0 160.7 118.2
 0 0.558     0.180      35.4      37.4      11.8      5.81762  30693.  -6.2447   1.2668   5.887             0.47178       866.19257            8.31 100.0   0.0   0.0   0.083  14.9     108.0 193.4 164.8 179.7 180.0 160.7 118.2
 0 0.565     0.182      35.3      37.3      11.8      5.81724  30691.  -6.3110   1.2828   5.888             0.47165       865.94452            8.31 100.0   0.0   0.0   0.083  14.9     107.8 193.4 165.1 179.7 180.0 160.6 118.1
 0 0.572     0.184      35.2      37.3      11.9      5.81684  30688.  -6.3774   1.2987   5.890             0.47150       865.68274            8.31 100.0   0.0   0.0   0.083  14.9     107.6 193.4 165.5 179.6 180.0 160.6 118.1
 0 0.579     0.187      35.2      37.2      11.9      5.81642  30685.  -6.4437   1.3146   5.891             0.47136       865.40912            8.31 100.0   0.0   0.0   0.083  14.8     107.4 193.4 165.8 179.6 180.0 160.5 118.1
